,DHB,Age group,Population
144,Taranaki,40 to 49,15620
158,Unknown,80 to 89,167640
157,Unknown,70 to 79,380170
156,Unknown,60 to 69,561800
155,Unknown,50 to 59,654040
159,Unknown,90+,34790
153,Unknown,30 to 39,733750
152,Unknown,20 to 29,679450
151,Unknown,10 to 19,655710
150,Unknown,0 to 9,625490
154,Unknown,40 to 49,631220
169,Waikato,90+,3160
168,Waikato,80 to 89,15240
167,Waikato,70 to 79,35170
166,Waikato,60 to 69,49970
165,Waikato,50 to 59,55010
164,Waikato,40 to 49,52690
162,Waikato,20 to 29,59190
161,Waikato,10 to 19,60340
160,Waikato,0 to 9,59610
163,Waikato,30 to 39,61500
176,Wairarapa,60 to 69,7140
178,Wairarapa,80 to 89,2310
177,Wairarapa,70 to 79,5510
179,Wairarapa,90+,460
175,Wairarapa,50 to 59,7030
172,Wairarapa,20 to 29,4960
173,Wairarapa,30 to 39,5750
171,Wairarapa,10 to 19,6080
170,Wairarapa,0 to 9,5900
174,Wairarapa,40 to 49,5870
189,Waitemata,90+,4150
188,Waitemata,80 to 89,19340
186,Waitemata,60 to 69,64160
185,Waitemata,50 to 59,82270
187,Waitemata,70 to 79,41400
183,Waitemata,30 to 39,97650
182,Waitemata,20 to 29,78560
181,Waitemata,10 to 19,79520
180,Waitemata,0 to 9,80220
184,Waitemata,40 to 49,86230
198,Whanganui,80 to 89,2920
190,Whanganui,0 to 9,8720
191,Whanganui,10 to 19,8920
192,Whanganui,20 to 29,7540
193,Whanganui,30 to 39,8270
194,Whanganui,40 to 49,7510
195,Whanganui,50 to 59,9110
196,Whanganui,60 to 69,9280
197,Whanganui,70 to 79,6630
199,Whanganui,90+,570
